release_year,total_revenue,average_revenue
2009-12-10,2910199058,1455099529.0
2009-12-11,0,0.0
2009-12-18,5837674,5837674.0
2009-12-21,443140005,443140005.0
2009-12-23,743132334,371566167.0
2009-12-25,0,0.0
2009-12-26,93525586,93525586.0
2010-01-01,0,0.0
2010-01-08,29922472,29922472.0
2010-01-12,58785180,58785180.0
2010-01-13,33583175,33583175.0
2010-01-21,83052951,41526475.5
2010-01-22,382946,382946.0
2010-02-05,52826594,52826594.0
2010-02-10,216485654,216485654.0
2010-02-11,0,0.0
2010-02-12,42345360,42345360.0
2010-02-15,6814789,6814789.0
2010-02-18,294804195,294804195.0
2010-02-19,0,0.0
2010-02-26,55583804,55583804.0
2010-03-03,1025491110,1025491110.0
2010-03-05,494878759,494878759.0
2010-03-11,144662617,72331308.5
2010-03-12,21409028,10704514.0
2010-03-16,136000000,136000000.0
2010-03-18,18409891,18409891.0
2010-03-19,75700498,75700498.0
2010-03-26,157818650,78909325.0
2010-04-01,236592132,118296066.0
2010-04-02,99412773,49706386.5
2010-04-08,152263880,152263880.0
2010-04-09,3606395,3606395.0
2010-04-11,45636368,45636368.0
2010-04-15,0,0.0
2010-04-16,0,0.0
2010-04-23,101057008,50528504.0
2010-04-28,623933331,623933331.0
2010-04-30,0,0.0
2010-05-06,0,0.0
2010-05-07,4270000,2135000.0
2010-05-11,49830607,49830607.0
2010-05-12,310669540,310669540.0
2010-05-14,771499,385749.5
2010-05-15,0,0.0
2010-05-16,752600867,752600867.0
2010-05-18,41424067,41424067.0
2010-05-19,335154643,335154643.0
2010-05-20,24188922,24188922.0
2010-05-21,6110000,6110000.0
2010-05-26,288347692,288347692.0
2010-06-04,271951463,90650487.66666667
2010-06-11,13831503,13831503.0
2010-06-15,261930431,261930431.0
2010-06-16,1066969703,1066969703.0
2010-06-17,3453043,3453043.0
2010-06-18,14781978,4927326.0
2010-06-23,698491347,698491347.0
2010-06-24,271430189,271430189.0
2010-06-30,318502923,318502923.0
2010-07-01,14870,14870.0
2010-07-06,6491240,3245620.0
2010-07-08,543513985,543513985.0
2010-07-09,34803867,17401933.5
2010-07-10,140073390,140073390.0
2010-07-13,215283742,215283742.0
2010-07-14,825532764,825532764.0
2010-07-16,531826,531826.0
2010-07-21,293329073,293329073.0
2010-07-23,0,0.0
2010-07-27,47664559,47664559.0
2010-07-30,198871621,99435810.5
2010-08-01,453079,453079.0
2010-08-03,274470394,274470394.0
2010-08-04,159291809,159291809.0
2010-08-06,172188139,86094069.5
2010-08-12,204594016,204594016.0
2010-08-18,80547866,80547866.0
2010-08-20,143439536,71719768.0
2010-08-26,69055695,69055695.0
2010-08-27,67738090,67738090.0
2010-09-01,73373745,36686872.5
2010-09-02,134748021,134748021.0
2010-09-04,7103838,7103838.0
2010-09-05,876302,876302.0
2010-09-06,414211549,414211549.0
2010-09-09,300552222,150276111.0
2010-09-10,90551105,30183701.666666668
2010-09-11,5332926,5332926.0
2010-09-13,97009150,48504575.0
2010-09-15,163481368,81740684.0
2010-09-16,1083683,1083683.0
2010-09-17,39300000,39300000.0
2010-09-24,19152480,19152480.0
2010-09-30,224953560,112476780.0
2010-10-01,24249348,12124674.0
2010-10-07,9479718,9479718.0
2010-10-08,7871522,7871522.0
2010-10-15,107812408,53906204.0
2010-10-20,226043502,113021751.0
2010-10-21,136150434,136150434.0
2010-10-26,8454301,8454301.0
2010-10-28,321887208,321887208.0
2010-10-29,4159678,4159678.0
2010-11-04,211780824,211780824.0
2010-11-05,37000000,37000000.0
2010-11-06,36993168,36993168.0
2010-11-12,416498,416498.0
2010-11-18,51148651,51148651.0
2010-11-22,102820008,102820008.0
2010-11-23,112601499,56300749.5
2010-11-24,591794936,295897468.0
2010-11-28,0,0.0
2010-12-02,338891300,169445650.0
2010-12-08,278731369,278731369.0
2010-12-10,400062763,200031381.5
2010-12-11,201584141,201584141.0
2010-12-16,5129058,5129058.0
2010-12-17,142285916,71142958.0
2010-12-21,310650585,310650585.0
2010-12-22,272806121,136403060.5
2010-12-27,16566240,16566240.0
2011-01-12,227817248,227817248.0
2011-01-13,118183471,59091735.5
2011-01-21,190946011,95473005.5
2011-01-28,96047633,96047633.0
2011-02-03,108609310,108609310.0
2011-02-04,40492759,40492759.0
2011-02-10,214918407,214918407.0
2011-02-11,106273872,35424624.0
2011-02-14,97552050,97552050.0
2011-02-16,214401811,107200905.5
2011-02-18,144492830,144492830.0
2011-02-22,0,0.0
2011-02-24,28931401,28931401.0
2011-02-25,85456467,42728233.5
2011-03-02,305114036,152557018.0
2011-03-03,127869379,127869379.0
2011-03-04,6928068,6928068.0
2011-03-08,202466756,202466756.0
2011-03-09,38992758,38992758.0
2011-03-11,89162162,89162162.0
2011-03-15,114156230,114156230.0
2011-03-16,4634062,2317031.0
2011-03-17,85412898,85412898.0
2011-03-18,864659,864659.0
2011-03-24,89792502,89792502.0
2011-03-25,72817005,36408502.5
2011-03-27,0,0.0
2011-03-30,331286420,165643210.0
2011-04-03,484635760,484635760.0
2011-04-07,63782078,63782078.0
2011-04-08,73210628,36605314.0
2011-04-11,97138686,97138686.0
2011-04-13,14460000,14460000.0
2011-04-14,0,0.0
2011-04-20,626137675,626137675.0
2011-04-21,449326618,449326618.0
2011-04-22,621951,310975.5
2011-04-28,288383523,288383523.0
2011-04-29,23651829,11825914.5
2011-05-05,138211044,69105522.0
2011-05-06,38459063,19229531.5
2011-05-12,3964682,3964682.0
2011-05-14,1045713802,1045713802.0
2011-05-15,133432856,133432856.0
2011-05-16,216197492,216197492.0
2011-05-18,54674226,54674226.0
2011-05-24,353624124,353624124.0
2011-05-25,920148267,460074133.5
2011-06-03,0,0.0
2011-06-08,260095987,260095987.0
2011-06-11,559852396,559852396.0
2011-06-16,219851172,219851172.0
2011-06-17,1406224,1406224.0
2011-06-18,30905,30905.0
2011-06-28,1123746996,1123746996.0
2011-06-30,36160375,36160375.0
2011-07-03,108348,108348.0
2011-07-06,169852759,169852759.0
2011-07-07,19560274,19560274.0
2011-07-08,117000000,117000000.0
2011-07-15,0,0.0
2011-07-20,25562924,25562924.0
2011-07-21,150483765,150483765.0
2011-07-22,370569774,370569774.0
2011-07-27,60965854,60965854.0
2011-07-29,706600520,353300260.0
2011-08-03,482860185,482860185.0
2011-08-04,0,0.0
2011-08-05,75450437,75450437.0
2011-08-06,78054825,78054825.0
2011-08-09,124272124,124272124.0
2011-08-11,40547440,40547440.0
2011-08-12,157887643,157887643.0
